ID,VALUE
15947,"AGRICULTURA, PECUÁRIA, CAÇA E SERVICOS RELACIONADOS COM ESSAS ATIVIDADES"
15949,"SILVICULTURA, EXPLORAÇÃO FLORESTAL E SERVIÇOS RELACIONADOS COM ESTAS ATIVIDADES"
15951,"PESCA, AQUICULTURA E ATIVIDADES DOS SERVIÇOS RELACIONADOS COM ESTAS ATIVIDADES"
15953,"EXTRACÃO DE CARVÃO MINERAL"
15955,"EXTRAÇÃO DE PETRÓLEO E SERVICOS CORRELATOS"
15957,"EXTRAÇÃO DE MINERAIS METÁLICOS"
15959,"EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS"
15961,"FABRICACÃO DE PRODUTOS ALIMENTÍCIOS E BEBIDAS"
15963,"FABRICACÃO DE PRODUTOS DO FUMO"
15965,"FABRICAÇÃO DE PRODUTOS TÊXTEIS"
15967,"CONFECCÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS"
15969,"PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS DE VIAGEM E CALÇADOS"
15971,"FABRICAÇÃO DE PRODUTOS DE MADEIRA"
15973,"FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL"
15975,"EDIÇÃO, IMPRESSÃO E REPRODUÇÃO DE GRAVAÇÕES"
15977,"FABRICAÇÃO DE COQUE, REFINO DE PETRÓLEO, ELABORAÇÃO DE COMBUSTÍVEIS NUCLEARES E"
15979,"PRODUÇÃO DE ÁLCOOL"
15981,"FABRICAÇÃO DE PRODUTOS QUÍMICOS"
15983,"FABRICAÇÃO DE ARTIGOS DE BORRACHA E PLÁSTICO"
15985,"FABRICAÇÃO DE PRODUTOS DE MINERAIS NÃO-METÁLICOS"
15987,"METALURGIA BÁSICA"
15989,"FABRICAÇÃO DE PRODUTOS DE METAL - EXCLUSIVE MÁQUINAS E EQUIPAMENTOS"
15991,"FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS"
15993,"FABRICAÇÃO DE MÁQUINAS PARA ESCRITÓRIO E EQUIPAMENTOS DE INFORMÁTICA"
15995,"FABRICAÇÃO DE MÁQUINAS, APARELHOS E MATERIAIS ELÉTRICOS"
15997,"FABRICAÇÃO DE MATERIAL ELETRÔNICO E DE APARELHOS E EQUIPAMENTOS DE COMUNICAÇÕES FABRICAÇÃO DE EQUIPAMENTOS DE INSTRUMENTAÇÃO MÉDICO-HOPITALARES, INSTRUMENTOS DE PRECISÃO E ÓPTICOS, EQUIPAMENTOS PARA AUTOMACÃO INSDUSTRIAL CRONÔMETROS E RELÓGIOS FABRICAÇÃO"
15999,"FABRICAÇÃO DE OUTROS EQUIPAMENTOS DE TRANSPORTE"
16001,"FABRICAÇÃO DE MÓVEIS E INDÚSTRIAS DIVERSAS"
16003,"RECICLAGEM"
16005,"ELETRICIDADE, GÁS E ÁGUA QUENTE"
16007,"CAPTAÇÃO, TRATAMENTO E DISTRIBUIÇÃO DE ÁGUA"
16009,"CONSTRUÇÃO"
16011,"COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS; E COMÉRCIO A VAREJO DE COMBUSTÍVEIS"
16013,"COMÉRCIO POR ATACADO E INTERMEDIÁRIOS DO COMÉRCIO"
16015,"COMÉRCIO VAREJISTA E REPARAÇÃO DE OBJETOS PESSOAIS E DOMÉSTICOS"
16017,"ALOJAMENTO E ALIMENTAÇÃO"
16019,"TRANSPORTE TERRESTRE"
16021,"TRANSPORTE AQUAVIÁRIO"
16023,"TRANSPORTE AÉREO"
16025,"ATIVIDADES ANEXAS E AUXILIARES DO TRANSPORTE E AGÊNCIAS DE VIAGEM"
16027,"CORREIO E TELECOMUNICAÇÕES"
16029,"INTERMEDIAÇÃO FINANCEIRA, EXCLUSIVE SEGUROS E PREVIDÊNCIA PRIVADA"
16031,"SEGUROS E PREVIDÊNCIA PRIVADA"
16033,"ATIVIDADES AUXILIARES DA INTERMEDIACÃO FINANCEIRA"
16035,"ATIVIDADES IMOBILIÁRIAS"
16037,"ALUGUEL DE VEÍCULOS, MÁQUINAS E EQUIPAMENTOS SEM CONDUTORES OU OPERADORES E DE OBJETOS PESSOAIS E DOMÉSTICOS"
16041,"ATIVIDADES DE INFORMÁTICA E CONEXAS"
16043,"PESQUISA E DESENVOLVIMENTO"
16045,"SERVIÇOS PRESTADOS PRINCIPALMENTE AS EMPRESAS"
16047,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL"
16049,"EDUCAÇÃO"
16051,"SAÚDE E SERVICOS SOCIAIS"
16053,"LIMPEZA URBANA E ESGOTO; E ATIVIDADES CONEXAS"
16055,"ATIVIDADES ASSOCIATIVAS"
16057,"ATIVIDADES RECREATIVAS, CULTURAIS E DESPORTIVAS"
16059,"SERVIÇOS PESSOAIS"
16061,"SERVIÇOS DOMÉSTICOS"
16063,"ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS"
16065,"ENTIDADE ESPORTIVA"
